char	Radical	Four Corner Code	Cangjie input code	Cangjie input code (Chinese)	Hanyu Da Zidian	Kang Xi	Remembering the Traditional Hanzi	RTH keyword	Remembering the Simplified Hanzi	RSH keyword
佔	9 儿	2126.0	OYR	人卜口	10131.090	0098.140	739	occupy		
何	9 儿	2122.0	OMNR	人一弓口	10130.040	0098.150	774	whatwhichwhowherewhy?	835	whatwhichwhowherewhy?
佖	9 儿	2329.0	OPH	人心竹	10139.040	0098.160				
佗	9 儿	2321.1	OJP	人十心	10139.030	0098.170				
佘	9 儿	8090.1	OMMF	人一一火	10128.030	0099.010				
余	9 儿	8090.4	OMD	人一木	10128.040	0099.020	1232	moi	1285	excess
佚	9 儿	2523.0	OHQO	人竹手人	10134.050	0099.030				
佛	9 儿	2522.7	OLLN	人中中弓	10140.030	0099.040	946	Buddha	1023	Buddha
作	9 儿	2821.1	OHS	人竹尸	10134.060	0099.070	868	do	940	do
佝	9 儿	2722.0	OPR	人心口	10137.060	0099.100				
佞	9 儿	2124.4	OMMV	人一一女	10129.100	0099.110				
佟	9 儿	2723.3	OHEY	人竹水卜	10137.070	0099.120				
你	9 儿	2729.0 2729.2	ONF	人弓火	10137.050	0100.021	741	you	799	you
佡	9 儿	2827.0	OOU	人人山	10137.010	0100.021				
佢	9 儿	2121.7	OSS	人尸尸	10120.050	0100.021				
佣	9 儿	2722.0	OBQ	人月手	10137.030	0100.021			2776	put to work
佤	9 儿	2121.7	OMVN	人一女弓	10121.030	0100.021				
佥	9 儿	8010	OMFM	人一火一	10128.110	0100.021				
佦	9 儿		XOMR	難人一口	10131.021	0100.021				
佧	9 儿	2123.1	OYMY	人卜一卜	10131.080	0100.021				
佨	9 儿		OPRU	人心口山	10137.081	0100.021				
佩	9 儿	2721.0	OHNB	人竹弓月	10150.070	0100.040	2013	wear at the waist	2080	wear at the waist
佪	9 儿	2620.0	OWR	人田口	10148.060	0100.060				
佫	9 儿	2726.4	OHER	人竹水口	10151.060	0100.080				
佬	9 儿	2421.1	OJKP	人十大心	10144.020	0100.090				
佭	9 儿		OHEQ	人竹水手	10151.050	0100.100				
佮	9 儿	2826.1	OOMR	人人一口	10150.040	0100.120				
佯	9 儿	2825.1	OTQ	人廿手	10153.020	0100.130				
佰	9 儿	2126.0	OMA	人一日	10146.030	0100.140				
佱	9 儿		XOMMM	難人一一一	10141.070	0100.150				
